frame,time,mode,selected_model,action_throttle,action_steer,carla_pos_x,carla_pos_y,carla_pos_z,carla_yaw_deg,carla_rot_0,carla_rot_1,carla_rot_2,carla_rot_3,speed_mps,model_pos_x,model_pos_y,model_pos_z,model_rot_0,model_rot_1,model_rot_2,model_rot_3,pred_delta_0,pred_delta_1,pred_delta_2,pred_delta_3
64,3.2,FORWARD,forward,0.07999999821186066,0.0,-64.1816177368164,24.50994300842285,0.017099875956773758,6.602566242218018,4.850137429457391e-06,-3.89511887988192e-06,0.05758638679981232,0.9983405470848083,0.22131404593814621,-24.51136016845703,0.021234141662716866,64.16943359375,0.0,0.0,0.06002707779407501,0.9981967806816101,0.026445923373103142,-3.8008292904123664e-05,6.2148901633918285e-06,0.14641916751861572
65,3.25,FORWARD,forward,0.07999999821186066,0.0,-64.15355682373047,24.513261795043945,0.01710212603211403,6.751762390136719,1.2025598152831662e-06,-2.8942952212673845e-06,0.05888615921139717,0.998264729976654,0.3152195388473084,-24.514484405517578,0.021242182701826096,64.14323425292969,0.0,0.0,0.061299484223127365,0.9981194138526917,0.026387037709355354,-3.808326437138021e-05,8.040215107030235e-06,0.14607571065425873
66,3.3000000000000003,FORWARD,forward,0.07999999821186066,0.0,-64.12920379638672,24.51620864868164,0.017110252752900124,6.899786949157715,3.857599040202331e-06,-2.374779114688863e-06,0.060175634920597076,0.9981878399848938,0.22008086247865097,-24.517671585083008,0.021251201629638672,64.11707305908203,0.0,0.0,0.06256972253322601,0.9980406165122986,0.02635713294148445,-3.8166093872860074e-05,9.01955718290992e-06,0.1458381861448288
67,3.35,FORWARD,forward,0.07999999821186066,0.0,-64.10122680664062,24.51966094970703,0.01711433380842209,7.046989440917969,2.071257370062085e-07,-1.4853927723379456e-06,0.06145783141255379,0.9981096982955933,0.3146168919005581,-24.520923614501953,0.021260643377900124,64.09092712402344,0.0,0.0,0.063838429749012,0.9979602694511414,0.02634558081626892,-3.825780004262924e-05,9.441340807825327e-06,0.14567457139492035
68,3.4000000000000004,FORWARD,forward,0.07999999821186066,0.0,-64.076904296875,24.52271842956543,0.01712360419332981,7.1935930252075195,2.8569045298354467e-06,-1.1054572723878664e-06,0.06273471564054489,0.9980302453041077,0.2198105431844312,-24.524240493774414,0.02127053029835224,64.06480407714844,0.0,0.0,0.06510554999113083,0.99787837266922,0.026332354173064232,-3.8290418160613626e-05,9.886471161735244e-06,0.14550377428531647
69,3.45,FORWARD,forward,0.07999999821186066,0.0,-64.04898834228516,24.526308059692383,0.017128676176071167,7.339768886566162,-5.643709641844907e-07,-4.1826038454928494e-07,0.06400778889656067,0.9979494214057922,0.31426085537200893,-24.52762222290039,0.021280841901898384,64.03870391845703,0.0,0.0,0.06637129187583923,0.9977949857711792,0.026319608092308044,-3.830659989034757e-05,1.0311119694961235e-05,0.14535808563232422
70,3.5,FORWARD,forward,0.07999999821186066,0.0,-64.02471160888672,24.529491424560547,0.017138786613941193,7.4856085777282715,2.3735506147204433e-06,-2.404787835530442e-07,0.0652778223156929,0.9978671669960022,0.2196137404646996,-24.531068801879883,0.021291544660925865,64.01261901855469,0.0,0.0,0.06763585656881332,0.997710108757019,0.026308264583349228,-3.832571383100003e-05,1.0703024599933997e-05,0.14523279666900635
71,3.5500000000000003,FORWARD,forward,0.07999999821186066,0.0,-63.99683380126953,24.53321647644043,0.01714458502829075,7.631202697753906,-9.338382938040013e-07,3.291886514489306e-07,0.06654560565948486,0.9977834224700928,0.31411486139303124,-24.53458023071289,0.021302590146660805,63.98655700683594,0.0,0.0,0.06889931857585907,0.99762362241745,0.02629881352186203,-3.834935341728851e-05,1.1045643987017684e-05,0.14512014389038086
72,3.6,FORWARD,forward,0.07999999821186066,0.0,-63.972591400146484,24.536523818969727,0.017155570909380913,7.776594161987305,1.9390772649785504e-06,4.0206597873293504e-07,0.0678115263581276,0.997698187828064,0.2194778236445419,-24.538156509399414,0.02131393738090992,63.96051025390625,0.0,0.0,0.07016175985336304,0.9975356459617615,0.026290778070688248,-3.8375117583200336e-05,1.1348145562806167e-05,0.14501596987247467
73,3.6500000000000004,FORWARD,forward,0.07999999821186066,0.0,-63.94472885131836,24.540388107299805,0.017162054777145386,7.921815872192383,-1.3124441693435074e-06,8.917364766602986e-07,0.06907583773136139,0.997611403465271,0.31400330539464427,-24.541797637939453,0.021325556561350822,63.934478759765625,0.0,0.0,0.0714232325553894,0.9974461197853088,0.026283787563443184,-3.839940472971648e-05,1.1618927601375617e-05,0.1449175477027893
