time_step,true_pos_x,pred_pos_x,error
637,0.48,0.4025971,0.07740289
638,0.51,0.43987602,0.07012397
639,0.53,0.47934154,0.050658435
640,0.56,0.51622736,0.043772638
641,0.58,0.5518045,0.0281955
642,0.61,0.5861744,0.023825586
643,0.63,0.61883914,0.0111608505
644,0.68,0.64899325,0.031006753
645,0.7,0.6838059,0.016194105
646,0.72,0.71783847,0.0021615624
647,0.74,0.7492806,-0.009280562
648,0.77,0.77820003,-0.008200049
649,0.79,0.8068968,-0.016896784
650,0.81,0.83443105,-0.02443105
651,0.83,0.86078215,-0.030782163
652,0.86,0.8858547,-0.025854707
653,0.88,0.9117404,-0.031740427
654,0.9,0.93870604,-0.038706064
655,0.92,0.9618104,-0.041810393
656,0.94,0.9834705,-0.043470502
657,0.95,1.0022216,-0.052221596
658,0.97,1.0169835,-0.04698348
659,0.99,1.030399,-0.040398955
660,1.01,1.0442085,-0.034208536
661,1.03,1.0593506,-0.029350638
662,1.05,1.0759261,-0.025926113
663,1.07,1.0937216,-0.023721576
664,1.08,1.1124884,-0.032488346
665,1.1,1.1303387,-0.030338645
666,1.11,1.1503581,-0.040358067
667,1.12,1.1672645,-0.047264457
668,1.14,1.179609,-0.039608955
669,1.16,1.1886976,-0.02869761
670,1.18,1.1950595,-0.01505959
671,1.2,1.2042067,-0.0042066574
672,1.21,1.2169366,-0.00693655
673,1.22,1.2307233,-0.010723233
674,1.23,1.2442783,-0.014278293
675,1.25,1.2571268,-0.007126808
676,1.26,1.2709327,-0.010932684
677,1.27,1.2843912,-0.014391184
678,1.29,1.2970922,-0.0070922375
679,1.31,1.3147411,-0.004741192
680,1.32,1.328454,-0.008453965
681,1.34,1.3411481,-0.0011481047
682,1.35,1.3551121,-0.005112052
683,1.36,1.3690486,-0.009048581
684,1.37,1.3823296,-0.012329578
685,1.38,1.3946648,-0.014664769
686,1.4,1.406299,-0.006299019
687,1.43,1.4188402,0.011159778
688,1.44,1.4385831,0.0014169216
689,1.45,1.5011094,-0.051109314
690,1.47,1.549857,-0.07985699
691,1.48,1.5879633,-0.10796332
692,1.5,1.6177982,-0.11779821
693,1.51,1.6413491,-0.13134909
694,1.53,1.629069,-0.099069
695,1.55,1.4239063,0.12609363
696,1.56,1.47413,0.08586991
697,1.58,1.5184044,0.06159568
698,1.59,1.5267932,0.06320679
699,1.6,1.5258837,0.07411635
700,1.61,1.5282688,0.0817312
701,1.62,1.5338504,0.08614957
702,1.63,1.5408491,0.089150906
703,1.63,1.5485123,0.081487656
704,1.65,1.5553997,0.09460032
705,1.66,1.5642022,0.09579778
706,1.66,1.5774156,0.08258438
707,1.67,1.5842937,0.085706234
708,1.68,1.5927466,0.08725333
709,1.68,1.6033208,0.07667911
710,1.69,1.614733,0.07526708
711,1.69,1.6286461,0.061353922
712,1.69,1.6382744,0.051725626
713,1.69,1.6467608,0.043239236
714,1.69,1.6534587,0.036541343
715,1.69,1.658646,0.03135407
716,1.69,1.6622763,0.02772379
717,1.69,1.6646025,0.02539754
