time_step,true_yaw_cos,pred_yaw_cos,error
612,-1.0,-0.957463,-0.042536974
613,-1.0,-0.95983756,-0.040162444
614,-1.0,-0.9626156,-0.03738439
615,-1.0,-0.965785,-0.034214973
616,-1.0,-0.96899843,-0.031001568
617,-0.9998001,-0.97210073,-0.027699351
618,-1.0,-0.9791981,-0.020801902
619,-1.0,-0.9801028,-0.019897223
620,-0.9998001,-0.98156536,-0.01823473
621,-1.0,-0.9879341,-0.012065887
622,-0.9998001,-0.98568535,-0.0141147375
623,-1.0,-0.9680275,-0.031972528
624,-0.9998001,-0.94180596,-0.057994127
625,-1.0,-0.93021286,-0.069787145
626,-0.99980783,-0.9190062,-0.080801606
627,-0.9998186,-0.92063737,-0.079181254
628,-0.9999993,-0.9253056,-0.07469368
629,-0.99982536,-0.92033553,-0.07948983
630,-0.99983174,-0.92366683,-0.0761649
631,-0.9998675,-0.9271865,-0.07268101
632,-0.99998766,-0.9263096,-0.073678076
633,-0.999983,-0.93815076,-0.06183225
634,-0.9999775,-0.9492949,-0.050682604
635,-0.9999699,-0.9562658,-0.043704093
636,-0.99995804,-0.9594784,-0.04047966
637,-0.999941,-0.95924425,-0.04069674
638,-0.99998146,-0.955379,-0.044602454
639,-0.99997795,-0.95439565,-0.045582294
640,-0.9998819,-0.95248973,-0.04739219
641,-0.9999637,-0.9426664,-0.05729729
642,-0.99996084,-0.93907404,-0.0608868
643,-0.9999521,-0.93714464,-0.06280744
644,-0.9999229,-0.9350388,-0.06488407
645,-0.999917,-0.931008,-0.06890899
