time_step,true_pitch_deg,pred_pitch_deg,error
340,-68.00083,-69.11767,1.1168365
341,-68.00083,-70.461945,2.461113
342,-69.592575,-71.529106,1.9365311
343,-70.52877,-72.5892,2.0604324
344,-72.121124,-73.59718,1.476059
345,-73.72016,-74.72202,1.0018616
346,-75.32521,-75.95224,0.6270294
347,-76.9355,-77.301125,0.36562347
348,-77.828636,-78.75758,0.92894745
349,-79.43392,-80.1442,0.7102814
350,-79.43392,-81.596146,2.1622238
351,-81.041885,-82.733185,1.6912994
352,-82.65091,-83.961624,1.3107147
353,-82.65091,-85.442894,2.7919846
354,-84.258255,-86.60301,2.344757
355,-85.8579,-87.995026,2.137123
356,-87.4305,-89.84627,2.4157715
357,-88.195724,-92.10171,3.905983
358,-88.85073,-93.278755,4.4280243
359,-88.85073,-91.69332,2.8425903
360,-88.195724,-90.185425,1.9897003
361,-87.4305,-89.71766,2.2871628
362,-85.8579,-88.039444,2.1815414
363,-84.258255,-85.37385,1.115593
364,-84.258255,-82.04272,-2.215538
365,-84.31573,-79.246925,-5.068802
366,-84.258255,-77.15609,-7.102165
367,-84.258255,-76.16477,-8.093483
368,-84.258255,-76.781105,-7.47715
369,-84.258255,-78.00185,-6.2564087
370,-84.258255,-81.82366,-2.4345932
371,-84.258255,-82.800156,-1.4580994
372,-84.258255,-81.738556,-2.519699
373,-84.258255,-80.16384,-4.0944138
374,-82.65091,-78.76852,-3.882393
375,-82.65091,-77.6901,-4.960808
376,-81.041885,-76.77657,-4.265312
377,-81.041885,-75.93379,-5.1080933
378,-79.43392,-75.142296,-4.291626
379,-78.5502,-74.27959,-4.2706146
380,-76.9355,-73.3789,-3.5566025
381,-75.32521,-72.40184,-2.9233704
382,-73.65979,-71.33152,-2.32827
383,-73.72016,-70.189255,-3.5309067
384,-72.121124,-69.46334,-2.6577835
385,-71.19211,-68.584885,-2.6072235
386,-69.592575,-67.693,-1.8995743
387,-68.00083,-66.72201,-1.2788239
388,-67.00405,-65.68007,-1.3239822
389,-65.417656,-64.7237,-0.69395447
390,-63.84031,-63.876373,0.036064148
391,-62.865784,-62.96325,0.097465515
392,-61.293026,-62.01056,0.7175331
393,-60.336872,-60.992287,0.6554146
394,-59.73095,-59.99384,0.26288986
395,-57.212067,-58.941837,1.7297707
396,-56.203938,-57.85117,1.647232
