time_step,true_pos_z,pred_pos_z,error
506,-1.58,-1.5775194,-0.002480626
507,-1.58,-1.57691,-0.003090024
508,-1.58,-1.5756941,-0.0043059587
509,-1.58,-1.5733006,-0.006699443
510,-1.57,-1.5697024,-0.0002976656
511,-1.57,-1.5638361,-0.0061639547
512,-1.57,-1.5568502,-0.0131498575
513,-1.34,-1.275917,-0.06408298
514,-1.32,-1.2536249,-0.06637514
515,-1.3,-1.23473,-0.06526995
516,-1.28,-1.2149706,-0.06502938
517,-1.27,-1.1941774,-0.07582259
518,-1.25,-1.1712704,-0.07872963
519,-1.19,-1.143549,-0.04645109
520,-0.61,-0.59344834,-0.016551673
521,-0.58,-0.56065804,-0.019341946
522,-0.56,-0.5296922,-0.03030783
523,-0.5,-0.50185513,0.001855135
524,-0.48,-0.47124863,-0.008751363
525,-0.45,-0.44189775,-0.008102238
526,-0.43,-0.41373026,-0.016269743
527,-0.41,-0.38792622,-0.022073776
528,-0.38,-0.36444092,-0.015559077
529,-0.34,-0.34157914,0.0015791357
530,-0.32,-0.3167513,-0.0032486916
531,-0.3,-0.29261547,-0.0073845387
532,-0.26,-0.26993638,0.009936392
533,-0.23,-0.24194777,0.011947766
534,-0.2,-0.20705074,0.0070507377
535,-0.17,-0.1682353,-0.0017646998
536,-0.14,-0.12962288,-0.010377124
537,-0.12,-0.093622446,-0.026377551
538,-0.08,-0.06198448,-0.018015519
539,-0.05,-0.035045296,-0.014954705
540,-0.01,-0.0012820959,-0.008717904
541,0.01,0.041178077,-0.031178078
542,0.04,0.0783003,-0.0383003
543,0.06,0.09922549,-0.039225493
544,0.09,0.11553356,-0.025533557
545,0.11,0.13303927,-0.023039266
546,0.13,0.15164834,-0.021648347
547,0.16,0.17092255,-0.010922551
548,0.2,0.19123882,0.008761182
549,0.23,0.21253982,0.017460182
550,0.26,0.22881165,0.031188339
551,0.28,0.24257472,0.03742528
552,0.31,0.25646397,0.053536028
553,0.34,0.27482486,0.065175146
554,0.36,0.29955912,0.060440898
555,0.39,0.3286604,0.061339587
556,0.41,0.36121777,0.04878223
557,0.44,0.39496112,0.04503888
558,0.48,0.43146077,0.04853922
559,0.51,0.4766402,0.033359796
560,0.53,0.52611524,0.0038847327
561,0.56,0.5717317,-0.011731684
562,0.59,0.6131651,-0.023165107
563,0.63,0.6505476,-0.020547628
564,0.66,0.6846452,-0.02464515
565,0.69,0.71636313,-0.026363134
566,0.72,0.74688315,-0.026883125
567,0.76,0.7767998,-0.016799808
568,0.79,0.8086002,-0.018600166
569,0.82,0.8408327,-0.020832717
570,0.86,0.87286144,-0.012861431
571,0.89,0.9066095,-0.01660949
572,0.92,0.9404167,-0.020416677
573,0.95,0.9736092,-0.023609221
574,0.98,1.0063567,-0.026356697
575,1.01,1.038463,-0.028463006
576,1.08,1.0699518,0.01004827
577,1.11,1.1055381,0.0044618845
578,1.14,1.1406556,-0.0006556511
579,1.17,1.1682281,0.0017718077
580,1.2,1.1933606,0.0066394806
581,1.24,1.2177353,0.022264719
582,1.27,1.2427793,0.027220726
583,1.31,1.2716463,0.03835368
584,1.36,1.3015041,0.05849588
585,1.39,1.3308188,0.059181213
586,1.42,1.3591108,0.060889125
587,1.45,1.3878592,0.062140822
588,1.48,1.41735,0.062649965
589,1.51,1.4476423,0.062357664
590,1.54,1.4785764,0.06142354
591,1.56,1.5095255,0.050474405
592,1.59,1.539182,0.050818086
593,1.64,1.5680938,0.07190621
594,1.67,1.6048081,0.065191865
595,1.7,1.6438713,0.05612874
596,1.72,1.6821125,0.037887573
597,1.74,1.7167616,0.02323842
598,1.77,1.7471251,0.022874832
599,1.79,1.7754633,0.014536619
600,1.81,1.8015678,0.00843215
601,1.85,1.8254135,0.024586558
602,1.89,1.8519182,0.038081765
603,1.91,1.8820026,0.027997375
604,1.95,1.9115431,0.038456917
605,1.97,1.9463685,0.023631573
606,1.99,1.9775524,0.012447596
607,1.99,2.0042439,-0.014243841
608,1.99,2.0244334,-0.034433365
609,2.05,2.040921,0.0090789795
610,2.07,2.0761852,-0.006185293
611,2.09,2.120329,-0.030328989
612,2.1,2.1638834,-0.06388354
613,2.12,2.2011995,-0.081199646
614,2.13,2.233249,-0.103248835
615,2.14,2.2598572,-0.11985707
616,2.16,2.281493,-0.12149286
617,2.17,2.3011868,-0.13118672
618,2.2,2.3193173,-0.11931729
619,2.21,2.3388534,-0.12885332
620,2.22,2.3559484,-0.13594842
621,2.24,2.3691907,-0.12919068
622,2.25,2.3456633,-0.09566331
623,2.27,2.2907617,-0.020761728
624,2.28,2.2562208,0.023779154
625,2.3,2.2527554,0.04724455
626,2.32,2.2719467,0.048053265
627,2.34,2.297754,0.042245865
628,2.36,2.3225842,0.037415743
629,2.37,2.3456504,0.024349451
630,2.38,2.3614306,0.01856947
631,2.4,2.371347,0.028653145
632,2.41,2.3795826,0.030417442
633,2.42,2.4977243,-0.07772422
634,2.43,2.5470562,-0.11705613
635,2.44,2.5411959,-0.10119581
636,2.45,2.516843,-0.06684303
637,2.46,2.4925873,-0.03258729
638,2.47,2.4732873,-0.0032873154
639,2.47,2.4578474,0.012152672
640,2.48,2.4450881,0.03491187
641,2.48,2.438321,0.041678905
642,2.48,2.4313986,0.04860139
643,2.48,2.4247673,0.055232763
644,2.48,2.4178557,0.06214428
645,2.47,2.4083445,0.06165552
646,2.47,2.3975441,0.07245588
647,2.46,2.3862562,0.07374382
648,2.46,2.373475,0.08652496
649,2.45,2.360415,0.089585066
650,2.45,2.347927,0.102072954
651,2.44,2.337129,0.10287094
652,2.43,2.3274803,0.10251975
653,2.42,2.3166513,0.10334873
654,2.4,2.3188984,0.081101656
655,2.39,2.3037531,0.08624697
656,2.38,2.2995913,0.08040881
657,2.36,2.2919211,0.06807876
658,2.35,2.2793982,0.0706017
659,2.33,2.264865,0.065135
660,2.31,2.2478397,0.062160254
661,2.29,2.2295957,0.0604043
662,2.27,2.21106,0.058939934
663,2.25,2.1922674,0.057732582
664,2.24,2.172354,0.06764603
665,2.22,2.1529224,0.06707764
666,2.2,2.1484811,0.051518917
667,2.18,2.139814,0.040186167
668,2.16,2.1238828,0.036117315
669,2.14,2.1010413,0.038958788
670,2.1,2.072686,0.027313948
671,2.08,2.0466075,0.03339243
672,2.06,2.0258613,0.03413868
673,2.04,2.009195,0.030804873
674,2.02,1.994637,0.025362968
675,2.0,1.9807637,0.019236326
676,1.98,1.9665892,0.013410807
677,1.96,1.9519145,0.008085489
678,1.92,1.9366682,-0.0166682
679,1.9,1.9246976,-0.024697661
680,1.88,1.9016964,-0.021696448
681,1.86,1.8781753,-0.018175244
682,1.84,1.8565581,-0.016558051
683,1.82,1.836942,-0.016941905
684,1.81,1.818665,-0.008665085
685,1.78,1.8025656,-0.022565603
686,1.77,1.7856202,-0.015620232
687,1.72,1.7695422,-0.04954219
688,1.7,1.7554479,-0.055447817
689,1.68,1.6757827,0.004217267
690,1.66,1.5630772,0.096922755
691,1.64,1.4981186,0.14188135
692,1.62,1.482662,0.13733804
693,1.6,1.4974568,0.102543235
694,1.58,1.5279179,0.05208218
695,1.55,1.5666401,-0.016640186
696,1.52,1.734873,-0.21487308
697,1.5,1.8180027,-0.3180027
698,1.49,1.79583,-0.30583
699,1.46,1.7272155,-0.2672155
700,1.44,1.6455383,-0.20553827
701,1.42,1.5668883,-0.14688838
702,1.4,1.49769,-0.097689986
703,1.39,1.4399633,-0.049963355
704,1.34,1.3950636,-0.055063605
705,1.32,1.3555827,-0.03558266
706,1.3,1.3298552,-0.029855251
707,1.28,1.3030846,-0.02308464
708,1.26,1.2789743,-0.018974304
709,1.23,1.2585504,-0.028550386
710,1.21,1.2404087,-0.03040862
711,1.18,1.2282696,-0.04826963
