time_step,true_pos_y,pred_pos_y,error
571,0.19,0.18952394,0.0004760623
572,0.19,0.18951616,0.0004838407
573,0.19,0.18950821,0.000491783
574,0.19,0.18949892,0.00050108135
575,0.19,0.18948993,0.00051006675
576,0.19,0.18948212,0.00051787496
577,0.19,0.1894944,0.0005055964
578,0.19,0.18946905,0.0005309433
579,0.19,0.1894936,0.00050640106
580,0.19,0.1895724,0.00042760372
581,0.19,0.18956526,0.00043474138
582,0.19,0.1895639,0.00043609738
583,0.19,0.1896006,0.00039939582
584,0.19,0.18961816,0.00038184226
585,0.19,0.18962863,0.00037136674
586,0.19,0.18962842,0.00037157536
587,0.19,0.18961824,0.00038175285
588,0.19,0.18960205,0.0003979504
589,0.19,0.18958431,0.0004156828
590,0.19,0.18957013,0.0004298687
591,0.19,0.18955849,0.0004415065
592,0.19,0.18954943,0.0004505664
593,0.19,0.18954453,0.0004554689
594,0.19,0.18952742,0.00047257543
595,0.19,0.1895079,0.00049209595
596,0.19,0.1894955,0.0005044937
597,0.19,0.18948856,0.00051143765
598,0.19,0.1894872,0.00051279366
599,0.19,0.18949006,0.00050993264
600,0.19,0.18949188,0.0005081147
601,0.19,0.18949354,0.00050646067
602,0.19,0.18949452,0.0005054772
603,0.19,0.18949229,0.00050771236
604,0.19,0.18948814,0.0005118549
605,0.19,0.18951154,0.00048846006
606,0.19,0.18948713,0.00051286817
607,0.19,0.1894717,0.00052829087
608,0.19,0.18946838,0.0005316138
609,0.19,0.1894666,0.00053340197
610,0.19,0.18946815,0.00053185225
611,0.19,0.18942267,0.0005773306
612,0.19,0.18937585,0.00062415004
613,0.19,0.18934637,0.00065362453
614,0.19,0.18933553,0.0006644726
615,0.19,0.18933384,0.0006661564
616,0.19,0.18933603,0.00066396594
617,0.19,0.18933819,0.0006618053
618,0.19,0.18931115,0.0006888509
619,0.19,0.18933539,0.0006646067
620,0.19,0.18934962,0.0006503761
621,0.18,0.18932858,-0.009328574
622,0.18,0.18592326,-0.0059232563
623,0.18,0.18288425,-0.002884239
624,0.18,0.18119971,-0.0011997074
625,0.18,0.18052465,-0.0005246401
626,0.18,0.18048441,-0.00048440695
627,0.18,0.1806516,-0.000651598
628,0.18,0.1808795,-0.00087949634
629,0.18,0.1811154,-0.0011153966
630,0.18,0.18125702,-0.0012570173
631,0.18,0.18135342,-0.0013534129
632,0.19,0.18142752,0.008572474
633,0.19,0.18498702,0.005012974
634,0.19,0.18791352,0.0020864755
635,0.19,0.1894992,0.0005007982
636,0.19,0.19011068,-0.000110685825
637,0.19,0.19019279,-0.00019279122
638,0.19,0.19005173,-5.173683e-05
639,0.19,0.18985042,0.00014957786
640,0.19,0.18967837,0.00032162666
641,0.19,0.18956569,0.00043430924
642,0.19,0.18948503,0.00051496923
643,0.19,0.18943852,0.00056147575
644,0.19,0.18941702,0.00058297813
645,0.19,0.18939824,0.0006017536
646,0.19,0.18938316,0.00061683357
647,0.19,0.18937822,0.00062178075
648,0.19,0.18937832,0.00062167645
649,0.19,0.18937875,0.0006212443
650,0.19,0.18938029,0.0006197095
651,0.19,0.18938392,0.0006160736
652,0.19,0.18938692,0.0006130785
653,0.19,0.1893853,0.0006147027
654,0.19,0.18940112,0.00059887767
655,0.19,0.18938318,0.00061681867
656,0.19,0.18939605,0.00060394406
657,0.19,0.18940794,0.00059205294
658,0.19,0.18941216,0.0005878359
659,0.19,0.18941511,0.0005848855
660,0.19,0.18941694,0.00058305264
661,0.19,0.18941234,0.0005876571
662,0.19,0.18940412,0.00059588253
663,0.19,0.18939075,0.0006092489
664,0.19,0.1893751,0.0006248951
665,0.19,0.18935739,0.0006426126
666,0.19,0.18934779,0.0006522089
667,0.19,0.1893356,0.0006643981
668,0.19,0.18932119,0.0006788075
669,0.19,0.18929735,0.00070264935
670,0.19,0.18925425,0.0007457435
671,0.19,0.18918042,0.00081957877
672,0.19,0.18910763,0.00089237094
673,0.19,0.18905318,0.0009468198
674,0.19,0.18901853,0.000981465
675,0.19,0.18899819,0.0010018051
676,0.19,0.18898281,0.0010171831
677,0.19,0.18897021,0.0010297894
678,0.19,0.18895902,0.0010409802
679,0.19,0.18893532,0.0010646731
680,0.19,0.18893592,0.001064077
681,0.19,0.18892726,0.0010727346
682,0.19,0.1889073,0.0010927022
683,0.19,0.18888468,0.0011153221
684,0.19,0.18886435,0.0011356473
685,0.19,0.18884963,0.0011503696
686,0.19,0.18883489,0.0011651069
687,0.19,0.1888204,0.0011795908
688,0.18,0.18878973,-0.008789718
689,0.18,0.18532299,-0.005322978
690,0.18,0.18242815,-0.0024281442
691,0.18,0.18075599,-0.0007559806
692,0.18,0.18007651,-7.650256e-05
693,0.18,0.1799684,3.1605363e-05
694,0.18,0.18034258,-0.0003425777
695,0.18,0.18187639,-0.001876384
696,0.18,0.18129225,-0.0012922436
697,0.18,0.18059441,-0.0005944073
698,0.18,0.18033652,-0.00033651292
699,0.18,0.1803153,-0.00031529367
700,0.18,0.18034637,-0.0003463626
701,0.18,0.18036532,-0.00036531687
702,0.18,0.18036243,-0.00036242604
703,0.18,0.1803464,-0.0003463924
704,0.18,0.1803327,-0.00033269823
705,0.18,0.18030651,-0.00030650198
706,0.18,0.18031105,-0.00031104684
707,0.18,0.18027523,-0.00027522445
708,0.18,0.1802532,-0.00025318563
709,0.18,0.1802517,-0.0002516955
710,0.18,0.18029065,-0.00029064715
711,0.18,0.18034282,-0.0003428161
712,0.18,0.18034804,-0.00034803152
713,0.18,0.18039654,-0.0003965348
