time_step,true_roll_deg,pred_roll_deg,error
388,175.91438,178.0838,-2.1694183
389,176.18593,178.55367,-2.3677368
390,176.42366,178.83838,-2.4147186
391,176.53177,178.99545,-2.463684
392,176.7295,179.10031,-2.3708038
393,177.98758,179.18451,-1.1969299
394,176.90594,178.73753,-1.8315887
395,178.14662,179.01578,-0.8691559
396,178.17842,178.79819,-0.61976624
397,178.27048,178.69557,-0.4250946
398,178.32706,178.80826,-0.48120117
399,178.35034,178.97739,-0.6270447
400,178.35034,179.09521,-0.74487305
401,178.35034,179.13774,-0.7873993
402,178.32706,179.14182,-0.8147583
403,178.35034,179.11063,-0.7602844
404,178.35034,179.10437,-0.7540283
405,178.32706,179.12613,-0.79907227
406,178.32706,179.12393,-0.796875
407,178.32706,179.09825,-0.77119446
408,178.32706,179.0766,-0.74954224
409,178.32706,179.06381,-0.7367554
410,178.32706,179.06339,-0.7363281
411,178.30257,179.06125,-0.75868225
412,178.27048,179.04057,-0.7700958
413,178.27048,178.99289,-0.7224121
414,178.27048,178.93443,-0.6639557
415,178.24338,178.88272,-0.63934326
416,178.24338,178.83444,-0.59106445
417,178.17842,178.73277,-0.5543518
418,178.17842,178.54167,-0.36325073
419,178.14662,178.37431,-0.22769165
420,178.07127,178.20062,-0.12934875
421,178.03363,178.02686,0.0067749023
422,177.9452,177.84367,0.10153198
423,177.9452,177.6838,0.26139832
424,177.90013,177.61893,0.28120422
425,177.90013,177.56424,0.33589172
426,177.90013,177.5282,0.37193298
427,177.84608,177.49216,0.3539276
428,177.84608,177.42708,0.41900635
429,177.84608,177.36179,0.4842987
430,177.84608,177.2951,0.5509796
431,177.84608,173.29953,4.5465546
432,177.84608,170.06879,7.777298
433,177.7949,168.76828,9.026627
434,177.84608,168.93033,8.915756
435,177.9452,169.85672,8.088486
436,178.03363,170.97505,7.0585785
437,178.14662,171.9599,6.186722
438,178.17842,172.72003,5.4583893
439,177.51045,173.24924,4.261215
440,177.56335,173.95273,3.6106262
441,177.66269,174.41852,3.2441711
442,177.75426,174.67145,3.0828094
443,178.4817,174.80893,3.6727753
444,177.91743,174.60158,3.315857
445,178.55077,174.68198,3.8687897
446,178.58484,174.53465,4.050186
447,178.60966,174.41454,4.1951294
448,178.63948,174.3583,4.2811737
449,178.6501,174.35526,4.2948456
450,177.35492,174.37914,2.9757843
451,177.39127,174.38107,3.0101929
452,177.40816,174.36671,3.0414429
453,177.45491,174.34299,3.1119232
454,177.46967,174.32463,3.1450348
455,178.74832,174.30817,4.440155
456,178.76869,174.35861,4.41008
457,178.77448,174.41393,4.36055
458,178.77994,174.3979,4.3820343
459,178.77994,174.24051,4.5394287
460,177.56018,174.00137,3.5588074
461,178.77994,173.61429,5.1656494
462,178.77994,173.37683,5.4031067
463,178.77994,173.22815,5.5517883
464,178.77994,173.11688,5.6630554
465,178.77994,173.03735,5.742584
466,178.77994,172.96133,5.8186035
467,177.56018,172.8825,4.6776733
468,178.5312,172.67297,5.8582306
469,177.31186,172.60376,4.7080994
470,177.31186,172.55878,4.7530823
471,177.33556,172.60611,4.7294464
472,177.3585,172.72147,4.637039
473,177.41083,172.8461,4.564728
474,177.45201,172.98387,4.4681396
475,177.45201,173.14035,4.311661
476,177.4716,173.24467,4.2269287
477,177.49057,173.3341,4.1564636
478,177.5089,173.4114,4.0974884
479,177.52664,173.48914,4.037506
480,177.58618,173.58704,3.9991455
481,177.61693,173.73236,3.8845673
482,177.63152,173.9018,3.729721
483,177.65918,174.03256,3.6266174
484,177.68489,174.12393,3.5609589
485,177.70871,174.17657,3.532135
486,177.71992,174.20634,3.5135803
487,177.74101,174.19948,3.5415344
488,177.76033,174.17587,3.5844574
489,177.79385,174.15012,3.6437378
490,177.65085,174.14178,3.5090637
491,177.63814,173.9048,3.7333374
492,177.62329,173.59792,4.0253754
493,177.61505,173.3168,4.2982483
494,177.61505,173.08293,4.5321198
495,177.58014,172.90674,4.673401
496,177.57047,172.80855,4.761917
497,177.56018,172.76558,4.7946014
498,177.54927,172.75998,4.7892914
499,177.53772,172.75153,4.786194
500,177.497,172.74005,4.7569427
501,177.497,172.74706,4.749939
