time_step,true_yaw_sin,pred_yaw_sin,error
493,0.0036279112,-0.0030951733,0.0067230845
494,0.0022724867,-0.0028050942,0.005077581
495,0.0024849789,-0.0031073699,0.005592349
496,0.0026990455,-0.003420169,0.0061192145
497,0.0031324895,-0.0037173661,0.0068498557
498,0.0035740337,-0.0038193003,0.007393334
499,0.0038788633,-0.0037784595,0.007657323
500,0.0043454235,-0.0037338124,0.008079236
501,0.004583103,-0.0036224881,0.008205591
502,0.005179527,-0.0035959454,0.008775473
503,0.005433472,-0.0034311572,0.008864629
504,0.0056914273,0.0044227187,0.0012687086
505,0.006361794,0.009364329,-0.003002535
506,0.0066404324,0.010283729,-0.0036432967
507,0.0076873116,0.0088970475,-0.0012097359
508,0.007997745,0.007665137,0.0003326079
509,0.008852667,0.0068145804,0.0020380868
510,0.009195617,0.006677324,0.0025182934
511,0.010162914,0.006901946,0.0032609683
512,0.01123201,0.007640401,0.0035916092
513,0.011652523,0.008728983,0.0029235398
514,0.012421402,0.009625837,0.002795565
515,0.013754297,0.010459136,0.0032951608
516,0.015843688,0.011590404,0.004253283
517,0.01764107,0.013429914,0.0042111557
518,0.018955773,0.015646985,0.003308788
519,1.2246469e-16,0.017714651,-0.017714651
520,0.021262914,0.011255197,0.010007717
521,1.2246469e-16,0.013079742,-0.013079742
522,1.2246469e-16,0.007621756,-0.007621756
523,0.027271599,0.002011926,0.025259674
524,0.029821573,0.008954387,0.020867186
525,0.032778695,0.017897312,0.014881384
526,0.036248833,0.026138552,0.010110281
527,0.09950372,0.03328422,0.066219494
528,0.051640764,0.06413753,-0.012496769
529,0.13216372,0.07300107,0.059162647
530,0.06962344,0.107835725,-0.038212284
531,0.17888544,0.13200608,0.046879366
532,0.21693046,0.188697,0.028233469
533,0.27472112,0.25124973,0.023471385
534,0.37139067,0.32162458,0.049766093
535,0.5547002,0.40817848,0.14652172
536,1.0,0.51132214,0.48867786
537,0.70710677,0.5872816,0.119825184
538,0.4472136,0.5449898,-0.097776234
539,0.27472112,0.44551358,-0.17079246
540,0.17888544,0.33109605,-0.15221061
541,0.15205719,0.23197815,-0.07992096
542,0.12403473,0.16642556,-0.042390823
543,0.11043153,0.12470423,-0.014272697
544,0.11043153,0.10028431,0.010147221
545,0.11043153,0.08988072,0.02055081
546,0.11043153,0.0889035,0.021528028
547,0.104684785,0.09259051,0.012094274
548,0.09950372,0.095871046,0.0036326721
549,0.09950372,0.09705174,0.0024519786
550,0.09950372,0.097601086,0.0019026324
551,0.09950372,0.09788783,0.0016158894
552,0.09950372,0.09797041,0.0015333071
553,0.09480909,0.09786008,-0.0030509904
554,0.090535745,0.09602286,-0.005487114
555,0.090535745,0.09123428,-0.00069853663
556,0.090535745,0.08683719,0.0036985576
557,0.08304548,0.083399534,-0.0003540516
558,0.07387169,0.07894117,-0.0050694793
559,0.06880209,0.072465435,-0.0036633462
560,0.06651901,0.0658889,0.0006301105
561,0.062378287,0.06065722,0.0017210655
562,0.06049506,0.05698533,0.00350973
563,0.058722023,0.054257248,0.0044647753
564,0.058722023,0.052275885,0.006446138
565,0.058722023,0.05131959,0.007402431
566,0.057049792,0.05106752,0.0059822723
567,0.057049792,0.050550558,0.0064992346
568,0.057049792,0.050150603,0.006899189
569,0.057049792,0.04987499,0.007174801
570,0.057049792,0.049662728,0.0073870644
571,0.05547002,0.049464248,0.0060057715
572,0.05547002,0.048687853,0.0067821667
573,0.053975258,0.04793096,0.0060442984
574,0.053975258,0.046847675,0.007127583
575,0.053975258,0.04597078,0.008004479
576,0.052558832,0.045364387,0.0071944445
577,0.052558832,0.044446938,0.008111894
578,0.052558832,0.043695424,0.008863408
579,0.052558832,0.04319373,0.0093651
580,0.049937617,0.042878326,0.007059291
581,0.049937617,0.04174626,0.008191358
582,0.049937617,0.04074289,0.009194728
583,0.049937617,0.04007807,0.009859547
584,0.048722554,0.03968746,0.009035096
585,0.048722554,0.039020304,0.00970225
586,0.048722554,0.03850319,0.010219365
587,0.048722554,0.03818957,0.010532983
588,0.06558618,0.03803858,0.027547598
589,0.06220711,0.043211345,0.018995766
590,0.06220711,0.04700736,0.015199751
591,0.06220711,0.049383827,0.012823284
592,0.0464614,0.050694462,-0.0042330623
593,0.04540766,0.046497002,-0.0010893419
594,0.04540766,0.041819267,0.0035883933
595,0.04540766,0.038428817,0.0069788434
596,0.04540766,0.03569948,0.009708181
597,0.04540766,0.034114733,0.011292927
598,0.043437224,0.033259265,0.010177959
599,0.04078237,0.032310423,0.008471947
600,0.04078237,0.030735254,0.010047115
601,0.03996804,0.029603623,0.010364417
602,0.038433123,0.02877817,0.009654954
603,0.03770901,0.027914833,0.009794176
604,0.03701166,0.027216889,0.009794772
605,0.03633962,0.02671785,0.009621769
606,0.03569153,0.026407287,0.009284243
607,0.03506614,0.02617111,0.008895028
608,0.033878844,0.02597357,0.007905275
609,0.03331483,0.025612347,0.0077024847
610,0.017696343,0.024937365,-0.007241022
611,0.04125517,0.020343028,0.02091214
612,0.039698817,0.022916,0.016782816
613,0.014760355,0.025950424,-0.011190069
614,0.013275265,0.021250412,-0.007975147
615,0.012171383,0.015789673,-0.0036182897
616,0.011378417,0.011678768,-0.00030035153
617,0.01035514,0.0091228895,0.0012322506
618,0.009162919,0.0076179653,0.0015449533
619,0.029405406,0.0066642445,0.022741161
620,0.007296726,0.01180437,-0.004507644
621,0.026924154,0.011065379,0.015858775
622,0.023249527,0.014632756,0.008616772
623,0.022982433,0.017299434,0.0056829993
624,0.022466239,0.019076988,0.0033892505
625,0.0036279112,0.020108106,-0.016480194
626,0.0028126459,0.015854174,-0.013041528
627,0.0016019202,0.011536961,-0.009935041
628,0.00079999975,0.0020654658,-0.001265466
629,0.0,-0.0031547276,0.0031547276
630,-0.00079999975,-0.004608983,0.0038089834
631,-0.0016019202,-0.004411162,0.0028092416
