time_step,true_pitch_deg,pred_pitch_deg,error
643,27.791328,28.075928,-0.2845993
644,28.901705,30.332619,-1.4309139
645,28.901705,32.29872,-3.3970165
646,28.901705,33.90294,-5.001234
647,28.901705,35.011253,-6.1095486
648,28.901705,35.688488,-6.786783
649,28.901705,36.05963,-7.1579266
650,28.901705,36.241413,-7.3397083
651,28.901705,36.319122,-7.4174175
652,28.901705,36.346416,-7.4447117
653,28.901705,36.35305,-7.4513454
654,28.901705,36.353493,-7.451788
655,28.901705,36.35361,-7.451906
656,54.6289,36.355053,18.273846
657,56.174656,41.344963,14.829693
658,57.18217,47.33749,9.844681
659,58.73692,52.649532,6.087387
660,61.293026,56.924225,4.368801
661,62.865784,60.42345,2.4423332
662,65.417656,63.23473,2.1829262
663,67.00405,65.714714,1.2893372
664,67.95622,67.901794,0.0544281
665,70.4787,69.72924,0.7494583
666,72.06636,71.59673,0.46962738
667,73.65979,73.4879,0.17189026
668,76.156456,75.41293,0.74352264
669,77.61673,77.69332,-0.07659149
670,79.902054,81.69265,-1.790596
671,82.30179,86.590546,-4.2887573
672,85.62557,92.08435,-6.4587784
673,86.39226,96.94909,-10.556831
674,87.71781,100.113235,-12.395424
675,88.182884,100.036766,-11.853882
676,87.07038,94.294106,-7.2237244
677,85.62557,89.810135,-4.1845627
678,84.08866,85.852516,-1.763855
679,82.51787,82.77043,-0.25256348
680,80.06733,80.853195,-0.7858658
681,78.46364,79.69477,-1.2311325
682,76.8598,78.946976,-2.0871735
683,75.258,78.40927,-3.151268
684,73.65979,77.92622,-4.2664337
685,72.06636,77.39062,-5.324257
686,69.54424,76.81738,-7.27314
687,67.95622,75.98648,-8.030258
688,67.00405,74.97979,-7.9757385
689,67.95622,73.93077,-5.9745483
690,67.00405,73.178986,-6.1749344
691,67.00405,72.50989,-5.5058365
692,67.00405,71.95843,-4.954376
693,67.00405,71.53577,-4.5317154
694,67.00405,71.24125,-4.237198
695,66.37609,71.005325,-4.6292343
696,66.37609,70.71186,-4.3357697
697,66.30886,70.44757,-4.13871
698,65.35247,70.819374,-5.4669037
699,65.35247,71.05813,-5.705658
700,65.417656,71.16502,-5.747368
701,65.417656,70.64833,-5.2306747
702,63.84031,70.02925,-6.188942
703,63.84031,69.22449,-5.384178
704,63.84031,68.49547,-4.655159
705,63.84031,67.923515,-4.083206
706,63.84031,67.50281,-3.6624985
707,62.806786,67.204544,-4.3977585
708,62.806786,67.34313,-4.5363464
709,62.806786,67.50159,-4.6948013
710,62.806786,67.564995,-4.758209
711,62.272602,67.5244,-5.2517967
712,62.21592,66.859146,-4.6432266
713,61.237843,66.54341,-5.3055687
714,61.237843,66.20142,-4.963581
