time_step,true_roll_deg,pred_roll_deg,error
394,172.87498,169.15967,3.7153168
395,171.25385,167.5618,3.692047
396,169.69516,164.31747,5.3776855
397,165.96376,158.89937,7.064392
398,161.56505,151.42892,10.136124
399,146.30994,140.58687,5.723068
400,116.56505,115.77649,0.78855896
401,45.0,75.19423,-30.19423
402,21.801409,43.52917,-21.727762
403,15.945395,23.13314,-7.187745
404,12.528808,11.515503,1.0133047
405,10.304847,6.5111084,3.7937384
406,7.5946436,5.125511,2.4691324
407,6.709837,5.2264786,1.4833584
408,6.340192,5.918892,0.42129993
409,5.440332,6.693405,-1.2530732
410,4.969741,7.2855606,-2.3158197
411,4.573921,7.6443176,-3.0703964
412,4.0856166,7.7801056,-3.694489
413,3.8140748,7.7302628,-3.916188
414,3.4682293,7.774811,-4.3065815
415,3.270488,7.8603973,-4.5899096
416,3.17983,7.9388275,-4.7589974
417,3.17983,7.9909744,-4.8111444
418,3.17983,8.004311,-4.8244805
419,3.17983,7.982239,-4.8024087
420,3.094058,7.9362183,-4.84216
421,3.094058,7.8769913,-4.782933
422,3.094058,7.81266,-4.718602
423,3.094058,7.731163,-4.637105
424,3.0127876,7.653267,-4.640479
425,3.0127876,7.5801163,-4.5673285
426,3.0127876,7.523926,-4.511138
427,3.0127876,7.479225,-4.4664373
428,3.0127876,7.424904,-4.412116
429,3.0127876,7.3666916,-4.353904
430,3.0127876,7.3297577,-4.31697
431,2.9356735,7.317032,-4.381358
432,3.8678684,7.282303,-3.4144344
433,3.8678684,7.2101364,-3.342268
434,3.8678684,7.1190643,-3.251196
435,3.8678684,7.008301,-3.1404324
436,3.8678684,6.90361,-3.0357418
437,3.8678684,6.8230057,-2.9551373
438,3.7605107,6.746826,-2.9863155
439,3.7605107,6.765877,-3.005366
440,3.7605107,7.3460846,-3.585574
441,3.7605107,7.956909,-4.1963987
442,3.7605107,8.24337,-4.4828596
443,3.7605107,8.205933,-4.445422
444,3.5665076,7.9600067,-4.3934994
445,3.5665076,7.6303787,-4.0638714
446,3.5665076,7.3183365,-3.751829
447,3.5665076,6.988312,-3.4218042
448,3.4729211,6.696274,-3.2233527
449,2.6025622,6.4691544,-3.8665922
450,3.3038244,6.2428894,-2.939065
451,2.489553,6.0175247,-3.5279717
452,3.2214355,5.890747,-2.6693115
453,3.0727444,5.761322,-2.6885777
454,2.29061,5.528015,-3.237405
455,2.867815,5.3332214,-2.4654064
456,2.8023365,5.1149063,-2.3125699
457,2.1210964,4.8898773,-2.768781
458,3.5072136,4.736267,-1.2290535
459,3.4085503,4.6608963,-1.252346
460,3.3100195,4.583084,-1.2730646
461,3.2666953,4.4869995,-1.2203043
462,1.818303,4.3788605,-2.5605574
463,3.138494,4.2523575,-1.1138635
464,3.057281,4.1532745,-1.0959935
465,2.9881697,4.048752,-1.0605822
466,2.955362,3.916214,-0.9608519
467,1.636577,3.7480316,-2.1114545
468,1.5911403,3.5575104,-1.9663701
469,1.5693548,3.3679123,-1.7985575
470,1.5074358,3.190422,-1.6829863
